proposition_uid,text,speech_acts,has_roles,debate_role,question,question_type,exclusivity,polarity,key_point,notes
prop:0164372128104057a31f,Donald Trump threatened to retaliate forcefully against Iran after an intercepted Iranian missile attack on US forces.,prediction,,thesis,Will Donald Trump retaliate against Iran?,policy,exclusive,FAVOR,Trump threatens forceful retaliation.,
prop:0164ac2dad01f83fb0dd,"If the governor is truly committed to transparency, selectively extending transparency to certain outlets makes little sense.",judgment,conclusion,thesis,Does selective transparency make sense?,policy,exclusive,AGAINST,Selective transparency is illogical.,
prop:016fcf1a35855afdf6b9,Massachusetts high school migrant-student enrollment fell by more than 20% during President Donald Trump's enforcement of immigration laws.,assertion,conclusion|premise,premise,What happened to migrant-student enrollment in Massachusetts?,factual,unknown,AFFIRMS,,
prop:017e96b02bac710b6642,Bill Cassidy will support Todd Blanche's nomination for attorney general.,assertion,conclusion,thesis,Will Bill Cassidy support Todd Blanche's nomination?,policy,exclusive,FAVOR,Cassidy will support the nomination.,
prop:0185208b753796737f81,"A Bluesky user said they had been sincere and serious, but that others had turned their comment into a joke.",judgment,objection,premise,Did a Bluesky user feel their comment was taken seriously?,factual,unknown,AFFIRMS,,
prop:018808453e1a57b5b092,Humanity will probably not be able to maintain control of artificial intelligence simply by outthinking it and preventing its escape.,assertion,prediction,thesis,Can humanity maintain control of advanced AI by outthinking it?,factual,exclusive,DENIES,Outthinking AI will not retain control,cleanup: factual not policy
prop:018aa91ccb709b1a784a,Donald and Melania Trump are saddened by Joe Biden's diagnosis and wish him a fast and successful recovery.,prescription,,background,none,,,,,cleanup: well-wish / personal color
prop:019943c08d9864daee18,The radar technology will help air traffic controllers identify aircraft and vehicles on runways and taxiways during bad weather and low visibility.,prediction,premise,premise,How will radar technology help air traffic controllers?,factual,unknown,FAVOR,,
prop:019db27c913a0a057015,The matter is generational in nature.,judgment,,background,none,,,,,
prop:01a6ccdc5c8f89058a18,"The researchers will follow the science and design molecules for different purposes, potentially expanding treatments to disorders such as obstructive sleep apnea, insomnia, and jet lag.",assertion,prediction,thesis,Will new treatments expand to disorders like sleep apnea?,policy,unknown,FAVOR,Expanding treatments for sleep disorders,
prop:01b0320c21b9f1a826bf,Young Americans will look up to Williams and Rai for how they handled the crisis.,prediction,prediction|premise,thesis,Will young Americans look up to Williams and Rai?,factual,unknown,AFFIRMS,Influence of Williams and Rai on youth,
prop:01b65b6a59028baac81f,Seer will include the full text of Farokhzad's revised proposal letter in a Form 8-K filing.,prediction,,background,none,,,,,
prop:01bf23a86d9a26aaa277,He was often seen intoxicated in public.,allegation,,background,none,,,,,
prop:01c3ec5a59f353be7da4,Iran has partially lost control of the Strait of Hormuz.,assertion,conclusion,thesis,Has Iran lost control of the Strait of Hormuz?,factual,exclusive,AFFIRMS,Iran's control over the Strait,
prop:01cf944d09d4109bcb8b,Blackburn's victory positions her to potentially become the first female governor of the reliably Republican state.,prediction,conclusion,thesis,Could Blackburn become the first female governor?,policy,unknown,FAVOR,Potential for first female governor,
prop:01d54b6c820ca59e8cd3,"The Houston Rockets will face the Utah Jazz, Denver Nuggets, and Phoenix Suns during NBA Cup group play.",prediction,,background,none,,,,,
prop:01d9334d431073635f07,Donald Trump is examining the matter.,assertion,conclusion,background,none,,,,,
prop:01de683c69f7f4795d48,Donald Trump will look into the matter.,prediction,,background,none,,,,,cleanup: process note
prop:01f48b4dee9de7ebadec,Carr's goal is to encourage greater media consolidation involving companies Trump regards as ideological allies and corporate cronies.,allegation,premise,premise,Should media consolidation be encouraged?,policy,unknown,NONE,,Context needed for Trump's view on consolidation.
prop:01f73848154a32a172e7,Mr. Thompson's family received a measure of accountability today.,judgment,,background,none,,,,,
prop:01fbee49e37dac62e3a8,Efforts to make anti-LGBTQ+ bigotry mainstream should be vigorously opposed.,prescription,value,thesis,Should anti-LGBTQ+ bigotry be opposed?,policy,exclusive,FAVOR,Opposition to anti-LGBTQ+ bigotry,
prop:01fe1d1af09f24faf9c8,There is a point at which a screen may not be sufficient.,assertion,conclusion|objection,thesis,Is there a limit to screen sufficiency?,factual,unknown,NONE,,
prop:021fde52222c989aaf47,The real test will come in November.,prediction,prediction,thesis,Will the real test come in November?,factual,unknown,NONE,,
prop:022e9a1aa4d79b849288,The United States does not trust Iran and verifies its claims.,judgment,assumption,background,none,,,,,
prop:02304990468932afa921,Socialism can be stopped by improving people's lives.,prescription,conclusion,thesis,Can socialism be stopped by improving people's lives?,policy,exclusive,NONE,Improving lives can stop socialism,
prop:0234201d401daa0eb9b5,Systems that cannot be protected may need to be disconnected.,question,conclusion,thesis,Should systems that cannot be protected be disconnected?,policy,exclusive,NONE,Disconnect unprotected systems,
prop:023710088db05c23fe8d,Rand Paul said Fauci answered none of the committee's questions.,judgment,premise,premise,Did Fauci answer the committee's questions?,factual,unknown,NONE,,
prop:0239ee188d24712c28f7,Jihadists are being elected in many places.,allegation,,background,none,,,,,
prop:023ccfaba7437e1929a5,Restricting Chinese manufacturers' access to the U.S. removes an important future market and protects U.S. developers from potential price competition.,assertion,conclusion|premise,thesis,Does restricting Chinese manufacturers benefit U.S. developers?,policy,exclusive,NONE,Restricting access protects U.S. developers,
prop:02583fea33f7f6a67962,"Stock prices are declining, and borrowing costs worldwide are at multiyear highs.",assertion,conclusion,premise,Are stock prices declining and borrowing costs high?,factual,unknown,NONE,,
prop:025dc9ebcf8848ee3801,Natalie Harp was unwilling to accept refusal.,judgment,conclusion,thesis,Should Natalie Harp accept refusal?,policy,exclusive,NONE,Harp's refusal is unacceptable,
prop:029508a2eae59674d9a6,Nemiro has since become a career criminal.,judgment,,background,none,,,,,
prop:029630cf73115be9c8bd,Having more teams and sites enroll participants takes time.,assertion,conclusion,premise,Does enrolling more teams take time?,factual,unknown,NONE,,
prop:029f664f4a3b5b40eb4c,ICE wants to take custody of him.,assertion,conclusion,thesis,Should ICE take custody of him?,policy,exclusive,NONE,ICE's custody is justified,
prop:02a5b3365344d0f93b25,Parents should vaccinate their children against measles.,prescription,value,thesis,Should parents vaccinate their children against measles?,policy,exclusive,FAVOR,Vaccinate children against measles,cleanup: tightened question
prop:02b7fc21863c0d6ab2d7,Iran regarded efforts to establish a rival shipping route through the Strait of Hormuz as a red line because allowing it would undermine Iran's claim to effective sovereignty over the waterway.,judgment,premise,premise,Did Iran regard the rival shipping route as a red line?,factual,unknown,NONE,,
prop:02ba214ea2fd889a4435,Raising interest rates would be less risky than waiting too long and allowing inflation to become entrenched.,judgment,conclusion,thesis,Is raising interest rates less risky than waiting?,policy,exclusive,NONE,Raising rates mitigates risks,
prop:02bb070a43dab8f208b7,"Russia is leveraging manufacturing, research, and technology ecosystems to preserve access to critical capabilities and evade sanctions.",assertion,conclusion|premise,thesis,Is Russia leveraging ecosystems to evade sanctions?,policy,compatible,NONE,Russia is evading sanctions effectively,
prop:02c181b6eb99f7b2cd71,A police report alleges that Ali entered a wheelchair user’s home without consent and repeatedly touched her inappropriately.,allegation,,background,none,,,,,
prop:02c70c4a9fc8895e11ca,"If Claude took over designing, running, and analyzing experiments, it is uncertain whether progress would accelerate gradually or suddenly.",question,prediction,thesis,Will progress accelerate gradually or suddenly if Claude takes over?,causal,unknown,NONE,Uncertainty about progress acceleration,
prop:02d420dbbde9fa83eba4,Nearly all of the increase in the long-term Treasury yield this year has been due to higher real yields.,assertion,conclusion|premise,premise,What has caused the increase in long-term Treasury yield this year?,factual,compatible,AFFIRMS,,
prop:02d55e00d931ac45466b,Hegseth characterized the reported concerns or claims as completely misrepresented.,assertion,conclusion,thesis,Were the reported concerns about Hegseth accurate?,factual,exclusive,DENIES,Concerns were misrepresented,
prop:02e3429d01aaccb91cd7,DHS was not ending ICE traffic stops.,assertion,conclusion,thesis,Is DHS ending ICE traffic stops?,factual,exclusive,DENIES,DHS is not ending ICE stops,
prop:02f9919415ed02262587,Paying the premium is worthwhile to protect the country’s economy during a Hormuz-like disruption.,prescription,conclusion,thesis,Is paying the premium worthwhile during a Hormuz-like disruption?,policy,exclusive,FAVOR,Premium protects economy,
prop:02ff0df1976e9050bb84,The new radar is a reinforcement tool for equipping controllers to safeguard air travel.,judgment,conclusion,premise,none,,,NONE,,
prop:030a4354e26eadc317c0,The Trump administration handled the situation well.,judgment,conclusion,thesis,Did the Trump administration handle the situation well?,factual,exclusive,FAVOR,Trump administration handled it well,
prop:030c2d1384af7ffb9f92,The Federal Reserve will most likely leave interest rates unchanged at its next meeting.,prediction,prediction,thesis,Will the Federal Reserve change interest rates at its next meeting?,factual,exclusive,NONE,Interest rates likely unchanged,
prop:03153d9dc49675411c54,AI is the most transformational technology in the history of the world.,judgment,premise,premise,none,,,NONE,,
prop:0315bffcb7136a9cec21,The memo lacks a clear oversight or review process for decisions by unnamed political appointees.,assertion,conclusion,thesis,Does the memo lack a clear oversight process?,factual,exclusive,FAVOR,Memo lacks oversight process,
prop:0317f4550c6f53de8724,Hamas officials said that Hamas had reached an agreement.,assertion,conclusion,thesis,Did Hamas reach an agreement?,factual,exclusive,FAVOR,Hamas reached an agreement,
prop:033b13dd3fb9b39e1f07,Trump could enforce the agreement if he decides to do so.,prediction,premise,premise,Can Trump enforce the agreement?,factual,unknown,NONE,,
prop:033e40a9b29c50cd73ef,New Hampshire offers Republicans one of their few opportunities to play offense in the current midterm election cycle.,judgment,,background,none,,,,,
prop:033eb00d3d0efbea7e9d,"People are angry, and enforcing immigration law is a matter of choice rather than something that must be done in a particular way.",judgment,,background,none,,,,,
prop:035669b129e058188a67,Mullin suggested that the federal government could help employers by approving a greater inflow of visa-worker migrants.,assertion,conclusion,thesis,Could the federal government help employers with visa-worker migrants?,policy,exclusive,FAVOR,Federal help for visa workers suggested,
prop:0362df4abeaf964a5130,The settlement is a step toward restoring faith in the system and in federal law enforcement agencies respecting the rule of law.,prediction,conclusion,thesis,Will the settlement restore faith in federal law enforcement?,policy,unknown,FAVOR,Restoring faith in the system,
prop:036b0bd8eec5806ce689,"Even if the yen strengthens further in the near term, longer-term downward pressures on it will remain.",prediction,qualifier,thesis,What are the long-term pressures on the yen?,factual,compatible,NONE,Long-term downward pressures on the yen,
prop:0370e6d697e25b274755,Florida's new congressional map favors Republicans and could allow them to offset losses elsewhere in the state during the midterms.,prediction,,thesis,Does Florida's new map favor Republicans in midterms?,policy,exclusive,FAVOR,Favors Republicans in midterms,
prop:038143f769267cfac7ed,"AI data center construction faces major hurdles, contrary to the idea that such centers are rapidly appearing everywhere.",judgment,conclusion,thesis,Are there hurdles in AI data center construction?,factual,exclusive,DENIES,Major hurdles in construction,
prop:038aeb4a00bd55a6a865,Hong intends to be a sensible and practical governor who prioritizes public safety.,prescription,conclusion,thesis,What are Hong's priorities as governor?,policy,compatible,FAVOR,Prioritizes public safety,
prop:038ff36cf12c0ce1a4e6,Fauci chose to sacrifice or abandon his supporters to protect himself.,assertion,conclusion,thesis,Did Fauci sacrifice his supporters for self-protection?,policy,exclusive,AGAINST,Sacrificed supporters for himself,
prop:03a35a1b5afe94446936,Gavin Newsom called the action a political stunt.,judgment,objection,thesis,Is Gavin Newsom's action a political stunt?,policy,exclusive,FAVOR,Political stunt accusation,
prop:03a36e8d2da9cae3f61b,The White House characterized Holmes's question as a cheap shot and called its critics the lowest of the low.,judgment,conclusion,thesis,How did the White House characterize Holmes's question?,factual,unknown,NONE,,
prop:03b5f68cc70c5e9d7587,The regime's collapse would make the world a better place.,judgment,value,thesis,Would the regime's collapse improve the world?,policy,exclusive,FAVOR,Better world after collapse,
prop:03baa741ed5aa75061ed,"People attending religious services should not be harassed, threatened, intimidated, or targeted for practicing their faith.",prescription,value,thesis,Should people attending religious services be protected?,policy,exclusive,FAVOR,Protecting religious practice,
prop:03c360d06cfafc028615,"The review could lead to existing state grants being revoked and future funding being denied to airport operators, including DFW and IAH.",prediction,prediction,thesis,Could the review lead to funding denials for airports?,policy,exclusive,FAVOR,Funding denials possible,
prop:03cf37aca78a69d0333a,Bernie Moreno said Miller should no longer serve in Congress.,prescription,conclusion,thesis,Should Miller resign from Congress?,policy,exclusive,FAVOR,Miller should resign,
prop:03cface626ef87684910,We should blame ourselves.,prescription,premise,premise,none,,,NONE,,
prop:03d6b0eae6da35c956a0,"The devices would be delivered by March 31, 2027.",assertion,prediction,thesis,When will the devices be delivered?,factual,unknown,NONE,,
prop:03d70b2feb194c773616,MySpace's owners are planning an effort to revive the platform.,prediction,,background,none,,,,,
prop:03e466f3edba21d30837,This experiment suggests a different path.,assertion,conclusion,thesis,What alternative path does the experiment suggest?,policy,unknown,NONE,Suggests an alternative approach,
prop:03e4a7c7479c61e8bcbe,Everyone should remain very cautious in Mexico and the United States and complete the evaluation.,prescription,value,thesis,What precautions should be taken in Mexico and the United States?,policy,unknown,NONE,Caution is necessary,
prop:03eeb0bb789f386cefe5,"ICE officers will be able to deploy electric shocks with a slight push of a button, potentially without others noticing.",prediction,premise,premise,How will ICE officers deploy electric shocks?,factual,unknown,NONE,,
prop:03fd45a0be48d53942ec,The speaker claims they have completely exposed or caught him.,judgment,conclusion,thesis,What has the speaker claimed to expose?,factual,unknown,NONE,Claims of exposure,
prop:0402bcc2b427456bda09,He is implying that the speaker and others did something wrong because they are successful.,assertion,conclusion,thesis,What wrongdoing is implied by the speaker?,factual,unknown,NONE,Implying wrongdoing due to success,
prop:040cf8340ac4d5055be3,Debra Denker mourns the way summer used to be.,judgment,conclusion,thesis,What does Debra Denker mourn?,factual,unknown,NONE,Mourning past summers,
prop:041fdd13ad5e342f420b,The European Commission wants the public financing to attract an additional 20 billion euros in private investment.,prescription,prediction,thesis,What does the European Commission want for public financing?,policy,unknown,NONE,Attracting private investment,
prop:042255b7c8a1643b7ab1,Trump may view the gesture of scaling back the drills as a way to pave the way for another meeting with Kim.,prediction,,background,none,,,,,
prop:042c90d6dbdd8706da85,People considering GLP-1 drugs should call their doctor for an individual consultation.,prescription,conclusion,thesis,What should people considering GLP-1 drugs do?,policy,unknown,NONE,Consult a doctor,
prop:043004edc904ab8493fa,Thousands of people are expected to attend the U.S. Open despite the high ticket prices.,prediction,prediction,premise,How many people are expected to attend the U.S. Open?,factual,unknown,NONE,,
prop:0432140ba06f462d5ca6,Healthcare price transparency efforts will accelerate innovation in care delivery and in making healthcare data easier for consumers to understand.,prediction,conclusion,thesis,How will healthcare price transparency affect innovation?,causal,unknown,NONE,Accelerating innovation in care delivery,
prop:0435d070678bfa7a3120,She is focused on PBS's business model going forward.,assertion,conclusion,thesis,What is she focused on regarding PBS?,factual,unknown,NONE,PBS's business model,
prop:043e4b0b8342fa92d9d1,The current path is clear.,judgment,premise,premise,What is the current path?,factual,unknown,NONE,,
prop:0449a6a1ab531b8fbe36,Trump thought Jeanine Pirro choked because the judge was vicious toward her and her department.,judgment,premise,premise,Why did Trump think Jeanine Pirro choked?,factual,unknown,NONE,,
prop:044da2a12eadff1fab9f,Garg is convinced that the board did not push hard enough.,allegation,,background,none,,,,,
prop:044fa765c4f02f7f229d,It is very painful and debilitating in many ways.,assertion,conclusion,background,none,,,,,
prop:046cd331b87bd40c0433,President Donald Trump has put himself in a difficult situation.,judgment,,thesis,What situation has President Trump put himself in?,factual,unknown,NONE,Trump's situation is difficult,
prop:048aab65a9e60e86ee17,Aliyev said Trump's determination and resolve ended the three-decade conflict and laid the foundation for reconciliation and mutually beneficial partnership.,assertion,conclusion,thesis,Did Trump's actions end the conflict?,factual,unknown,AFFIRMS,Trump's resolve ended the conflict,
prop:04977afa4886f820707a,Cheryl Reeve argued that protecting transgender children is a human rights issue.,judgment,,thesis,Is protecting transgender children a human rights issue?,policy,unknown,FAVOR,Transgender rights are human rights,
prop:04977bd125c84549ea86,Republicans privately expect Miller to drop his bid by the end of the week.,prediction,prediction,thesis,Will Miller drop his bid?,factual,unknown,NONE,Miller expected to drop bid,
prop:04a097fc7884f7e4c50e,President Donald Trump's marriage is on a rocky road.,assertion,conclusion,thesis,What is the state of Trump's marriage?,factual,unknown,NONE,Trump's marriage is rocky,
prop:04a0b3c3b325c354b9e0,A major university is allegedly connected to a large fraternity-house cocaine ring.,allegation,,thesis,Is the university connected to a cocaine ring?,factual,unknown,NONE,University allegedly connected to cocaine ring,
prop:04a27b8db481fcabbe30,Lake Powell has fallen to its lowest recorded level amid a severe drought crisis on the Colorado River.,assertion,premise|conclusion,premise,What is the status of Lake Powell?,factual,unknown,,,
prop:04b03dd028e3e8f75979,Rand Paul wrote that many entries in Fauci's diary undermine the official COVID-19 narrative promoted by Fauci and other public health officials.,allegation,conclusion,thesis,Do Fauci's diary entries undermine the COVID narrative?,factual,unknown,AFFIRMS,Fauci's diary undermines COVID narrative,
prop:04b61fd7e34de76b4847,"No Texas public school employees should work under H-1B visas, and the state should freeze new H-1B visas.",prescription,,thesis,Should Texas ban H-1B visas for public school employees?,policy,exclusive,FAVOR,Ban school H-1B visas,cleanup: tightened question
prop:04bbbe9e235fdcb3843f,"Jewish students were allegedly harassed, physically assaulted, stalked, and spat upon.",allegation,premise,premise,What happened to Jewish students?,factual,unknown,,,
prop:04c8d676c65090b26c20,Trump said he was extremely happy with Defense Secretary Pete Hegseth.,judgment,,thesis,How does Trump feel about Defense Secretary Pete Hegseth?,factual,unknown,NONE,Trump is happy with Hegseth,
prop:04e0f6a9a2efa19baf4b,"Sensi’s passion for design, craftsmanship, and the people involved shaped the brand and those who worked with her.",judgment,,thesis,What shaped Sensi's brand?,factual,unknown,NONE,Sensi's passion shaped her brand,
prop:04e35aa9681cd218fb36,The United Nations is a case of the lunatics running the asylum.,judgment,conclusion,thesis,Is the UN poorly managed?,factual,unknown,DENIES,UN is poorly managed,
prop:04eb1ad69e98dada0fbb,Israeli security concerns should not prevent progress toward justice and equality for Palestinians.,prescription,premise,premise,Should Israeli security concerns prevent progress for Palestinians?,policy,unknown,,,
prop:04f3a2a1fe216b0b4cc8,Jackson promised that immigrants who break the law while he is governor will be deported or leave the state.,prediction,,thesis,What will happen to immigrants who break the law?,policy,exclusive,FAVOR,Immigrants will be deported or leave.,
prop:0509472134a92ee4c74d,There is no reason to believe he will be any different.,prediction,conclusion,premise,What is the expectation of Jackson's actions?,policy,unknown,NONE,,Assumes Jackson's past behavior will continue.
prop:050d61d7a5c72c9b3d1c,They must unite because unity is necessary.,prescription,assumption,thesis,Why must they unite?,policy,unknown,FAVOR,Unity is necessary for success.,
prop:0515b8875b6f77b7a97e,The movement started in Tampa in November will continue beyond tonight.,assertion,prediction,thesis,Will the movement continue beyond tonight?,factual,exclusive,FAVOR,The movement will continue.,
prop:051e2d3c6ad77c14b4c7,No one did more than Chuck Grassley to get Blanche confirmed.,judgment,conclusion,premise,What did law enforcement do?,factual,unknown,NONE,,
prop:051e35edec4d8f7bb20e,Federal and local law enforcement intervened early and prevented a potentially dangerous situation.,assertion,conclusion,premise,What did Marco Rubio allege about the ICC?,factual,unknown,NONE,,
prop:051e8fa9288b19307f75,Secretary of State Marco Rubio alleged that the ICC maliciously abused its authority and exceeded its mandate.,allegation,premise,premise,What did Marco Rubio allege about the ICC?,factual,unknown,NONE,,
prop:052c15ce0593930ba5c7,A US Air Force flight bound for Antarctica returned to New Zealand after a warning about potentially hazardous space activity.,assertion,conclusion,premise,What happened to the US Air Force flight?,factual,unknown,NONE,,
prop:05309c4ae2978da319be,The Oversight Project and the Heritage Foundation defeated the Biden-led Justice Department and his private attorneys.,assertion,conclusion,premise,What did the Oversight Project achieve?,factual,unknown,NONE,,
prop:05402897dc8d00c8c0c0,The speaker and others did not think this was unethical.,judgment,conclusion,premise,What was the opinion of the speaker and others?,factual,unknown,NONE,,
prop:0548ee504770ae513e0e,"The response will be thorough, include documentation, and be understandable to people who review it.",prediction,prediction,thesis,What will the response include?,policy,compatible,FAVOR,Response will be thorough and understandable.,
prop:054e083a828f7ef05a20,Mike Lee objected to the Senate's recess and voted against it.,assertion,conclusion,premise,What did Mike Lee do regarding the Senate's recess?,factual,unknown,NONE,,
prop:054e778b6ea3f9454177,Donald Trump instructed the US Justice Department to investigate the matter.,prescription,,thesis,What did Donald Trump instruct the Justice Department to do?,policy,exclusive,FAVOR,Investigate the matter.,
prop:0553b2153fbddba54e2e,The president threatened to hand the building over to Congress.,prescription,,thesis,What did the president threaten to do?,policy,exclusive,FAVOR,Hand the building over to Congress.,
prop:055f734d6203c4bf3460,"Iran would be paid to reopen the strait at the end of the war, which would constitute a victory for Iran.",judgment,conclusion,premise,What would reopening the strait mean for Iran?,factual,unknown,NONE,,
prop:0562049db29626b799f0,"Byron Donalds won decisively, using Donald Trump's endorsement to secure the double-digit victory he wanted.",judgment,conclusion,thesis,Did Byron Donalds win the election?,factual,exclusive,AFFIRMS,Byron Donalds won decisively,
prop:05625ba9d20a6f3a34a5,The speaker says he will always support Israel.,assertion,conclusion,thesis,Will the speaker support Israel?,policy,unknown,FAVOR,Always support Israel,
prop:0565e9877fd5f2f98a0d,"Norman criticized Washington elites for supporting his opponent, while describing her as a nice person.",judgment,,background,none,,,,,
prop:056eeb7f19e88648e51e,The ICC's ability to target American nationals and nationals of other non-member states must end.,prescription,value,thesis,Should the ICC be able to target U.S. nationals?,policy,exclusive,AGAINST,End ICC targeting of Americans,cleanup: tightened question
prop:0580872a041ca028b9c9,Megan Degenfelder is projected to lose Wyoming's Republican gubernatorial election.,prediction,,thesis,Will Megan Degenfelder lose the election?,factual,exclusive,AFFIRMS,Projected to lose election,
prop:058b09c02ab07d6991e3,Georgia Democrats are expected to hold Scott's seat.,prediction,conclusion,thesis,Will Georgia Democrats hold Scott's seat?,factual,exclusive,AFFIRMS,Expected to hold seat,
prop:059673c2823e7fba02c1,Clinging to symbols of broader culture wars serves as a distraction from real problems in America.,assertion,conclusion,thesis,Does clinging to culture wars distract from real problems?,causal,exclusive,AFFIRMS,Distraction from real problems,
prop:05ad47327d6e87bf5fc9,Kyiv is trying to unsettle the Russian public and the Kremlin through these attacks.,assertion,conclusion,thesis,Is Kyiv trying to unsettle the Russian public?,factual,exclusive,AFFIRMS,Trying to unsettle Russian public,
prop:05b72b4a9733065cc3e8,America consists of two very different Americas.,judgment,,background,none,,,,,
prop:05c4eadddfe0216baed3,He is saying that Democrats are Communists.,allegation,objection,thesis,Are Democrats being labeled as Communists?,definitional,unknown,NONE,Saying Democrats are Communists,
prop:05ca2bbab7c8842e160b,The speaker hopes the trial will be fair and that the truth will be discovered.,prescription,premise,premise,Will the trial be fair?,policy,unknown,NONE,,
prop:05cde02a0ac8155b7767,Lisa Murkowski will oppose his nomination.,assertion,conclusion,thesis,Will Lisa Murkowski oppose the nomination?,factual,exclusive,AFFIRMS,Will oppose nomination,
prop:05d1dd632b11de5fb6a5,"People can become ill after high or repeated exposure to Legionella bacteria, especially if they are in vulnerable groups.",assertion,conclusion,thesis,Can people become ill from Legionella bacteria?,factual,exclusive,AFFIRMS,Illness from Legionella exposure,
prop:05e96492c1db06e0db6c,California's position is consequential because it is the country's largest and most economically prosperous state.,assertion,conclusion,thesis,Is California's position consequential?,factual,exclusive,AFFIRMS,California is consequential state,
prop:05fd56999bddfe18e012,Public health experts have condemned President Donald Trump's executive order seeking to alter childhood vaccinations in the United States.,judgment,conclusion,thesis,Have public health experts condemned Trump's executive order?,factual,exclusive,AFFIRMS,Condemned Trump's executive order,
prop:06174860a9e53031166e,Mikie Sherrill said her administration has faced obstruction while trying to conduct a full health inspection of Delaney Hall.,allegation,premise,premise,What obstruction did Mikie Sherrill face during health inspections?,factual,unknown,NONE,,
prop:061ec8a0693a73fc507e,The rare joint intervention was intended to support the yen after it reached a 40-year low against the dollar.,assertion,conclusion,thesis,What was the purpose of the joint intervention for the yen?,policy,unknown,FAVOR,Support the yen's value,
prop:0622cfa828776bef9065,The winner of Tuesday's special elections will serve only until January.,prediction,,background,none,,,,,
